CAND_ID,CAND_NAME,state,lname,fname,minitial,bioguide_id,thomas_id,NodeID,Party,Party_encode
H8WA02026,"SWIFT, ALLAN BYRON",WA,SWIFT,ALLAN,BYRON,,1129,1782,,
H4GA04017,"SWINDALL, PATRICK L",GA,SWINDALL,PATRICK,L,,1130,1783,,
H4GA04017,"SWINDALL, PATRICK LYNN",GA,SWINDALL,PATRICK,LYNN,,1130,1783,,
S0ID00016,"SYMMS, STEVE",ID,SYMMS,STEVE,,,1132,1784,,
H8OK02023,"SYNAR, MICHAEL LYNN",OK,SYNAR,MICHAEL,LYNN,,1133,1785,,
H8OK02023,"SYNAR, MIKE",OK,SYNAR,MIKE,,,1133,1785,,
H2MO02037,"TALENT, JAMES M",MO,TALENT,JAMES,M,,1135,1786,Republican,-1
S2MO00353,"TALENT, JAMES MATTHES",MO,TALENT,JAMES,MATTHES,,1135,1786,Republican,-1
H2SC06019,"TALLON, ROBERT M JR",SC,TALLON,ROBERT,M JR,,1136,1787,,
H2SC06019,"TALLON, ROBIN",SC,TALLON,ROBIN,,,1136,1787,,
H2SC06019,"TALLON, ROBIN M JR",SC,TALLON,ROBIN,M JR,,1136,1787,,
S4GA00015,"TALMADGE, HERMAN EUGENE",GA,TALMADGE,HERMAN,EUGENE,,1446,1788,,
H8CO06054,"TANCREDO, THOMAS GERALD",CO,TANCREDO,THOMAS,GERALD,,1592,1789,,
H8CO06054,"TANCREDO, THOMAS GERARD",CO,TANCREDO,THOMAS,GERARD,,1592,1789,,
H8TN08033,"TANNER, JOHN S",TN,TANNER,JOHN,S,,1137,1790,,
H8TN08033,"TANNER, JOHN S.",TN,TANNER,JOHN,S.,,1137,1790,,
H4WA19011,"TATE, RANDALL JOHN",WA,TATE,RANDALL,JOHN,,1138,1791,Republican,-1
H4WA19011,"TATE, RANDALL JOHN (RANDY)",WA,TATE,RANDALL,JOHN (RANDY),,1138,1791,Republican,-1
H8IA02019,"TAUKE, THOMAS JOSEPH",IA,TAUKE,THOMAS,JOSEPH,,1139,1792,,
H8IA02019,"TAUKE, TOM",IA,TAUKE,TOM,,,1139,1792,,
S0IA00069,"TAUKE, TOM",IA,TAUKE,TOM,,,1139,1792,,
H6CA10088,"TAUSCHER, ELLEN O",CA,TAUSCHER,ELLEN,O,,1533,1793,,
H6CA10088,"TAUSCHER, ELLEN O.",CA,TAUSCHER,ELLEN,O.,,1533,1793,,
H0LA03018,"TAUZIN, W J ""BILLY""",LA,TAUZIN,W,"J ""BILLY""",,1140,1794,,
H0LA03018,"TAUZIN, W J BILLY",LA,TAUZIN,W,J BILLY,,1140,1794,,
H0LA03018,"TAUZIN, WILBERT J ""BILLY""",LA,TAUZIN,WILBERT,"J ""BILLY""",,1140,1794,,
H0LA03018,"TAUZIN, WILBERT J II",LA,TAUZIN,WILBERT,J II,,1140,1794,,
H0LA03018,"TAUZIN, WILBERT J JR",LA,TAUZIN,WILBERT,J JR,,1140,1794,,
H0LA03018,"TAUZIN, WILBERT JOSEPH 'BILLY' II",LA,TAUZIN,WILBERT,JOSEPH 'BILLY' II,,1140,1794,,
H0LA03018,"TAUZIN, WILBERT JOSEPH II",LA,TAUZIN,WILBERT,JOSEPH II,,1140,1794,,
